mmwr_week,week,week_start,week_end,season,data_source,essence_category,respiratory_category,visit_type,demographic_category,demographic_group,percent,current_week_ending
202137,37,2021-09-12,2021-09-18,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.02,2025-09-13
201805,5,2018-01-28,2018-02-03,2017-2018,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.15,2025-02-01
202023,23,2020-05-31,2020-06-06,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,05_17,0.02,2025-06-07
201901,1,2018-12-30,2019-01-05,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.11,2025-01-04
202337,37,2023-09-10,2023-09-16,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.11,2025-09-13
202251,51,2022-12-18,2022-12-24,2022-2023,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,00_04,0.04,2024-12-21
201611,11,2016-03-13,2016-03-19,2015-2016,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,All,All,0.01,2025-03-15
201548,48,2015-11-29,2015-12-05,2015-2016,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,00_04,0.09,2024-11-30
202309,9,2023-02-26,2023-03-04,2022-2023,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,18_44,0.01,2025-03-01
202151,51,2021-12-19,2021-12-25,2021-2022,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,White Non-Hispanic,0.01,2024-12-21
201843,43,2018-10-21,2018-10-27,2018-2019,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.02,2024-10-26
202407,7,2024-02-11,2024-02-17,2023-2024,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,18_44,0.02,2025-02-15
202102,2,2021-01-10,2021-01-16,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,05_17,0.01,2025-01-11
201934,34,2019-08-18,2019-08-24,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.05,2025-08-23
202018,18,2020-04-26,2020-05-02,2019-2020,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Hispanic Or Latino,0.34,2025-05-03
201906,6,2019-02-03,2019-02-09,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.12,2025-02-08
202416,16,2024-04-14,2024-04-20,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,05_17,0.18,2025-04-19
201610,10,2016-03-06,2016-03-12,2015-2016,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.04,2025-03-08
202040,40,2020-09-27,2020-10-03,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,05_17,0.1,2024-10-05
202342,42,2023-10-15,2023-10-21,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.11,2024-10-19
201945,45,2019-11-03,2019-11-09,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.3,2024-11-09
201716,16,2017-04-16,2017-04-22,2016-2017,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,00_04,0.08,2025-04-19
202151,51,2021-12-19,2021-12-25,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,00_04,0.46,2024-12-21
202117,17,2021-04-25,2021-05-01,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,White Non-Hispanic,0.12,2025-04-26
201549,49,2015-12-06,2015-12-12,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.08,2024-12-07
201907,7,2019-02-10,2019-02-16,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,05_17,0.2,2025-02-15
202415,15,2024-04-07,2024-04-13,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Race/Ethnicity,Hispanic Or Latino,0.01,2025-04-12
202239,39,2022-09-25,2022-10-01,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.11,2025-09-27
202020,20,2020-05-10,2020-05-16,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.15,2025-05-17
201818,18,2018-04-29,2018-05-05,2017-2018,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,45_64,0.01,2025-05-03
202412,12,2024-03-17,2024-03-23,2023-2024,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Ed Visits,Age Group,00_04,0.01,2025-03-22
201640,40,2016-10-02,2016-10-08,2016-2017,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.07,2024-10-05
202201,1,2022-01-02,2022-01-08,2021-2022,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,18_44,0.02,2025-01-04
202039,39,2020-09-20,2020-09-26,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Black Non-Hispanic,0.13,2025-09-27
201602,2,2016-01-10,2016-01-16,2015-2016,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.01,2025-01-11
202324,24,2023-06-11,2023-06-17,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,18_44,0.06,2025-06-14
201923,23,2019-06-02,2019-06-08,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,18_44,0.07,2025-06-07
202119,19,2021-05-09,2021-05-15,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,All,All,0.05,2025-05-10
202412,12,2024-03-17,2024-03-23,2023-2024,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2025-03-22
202245,45,2022-11-06,2022-11-12,2022-2023,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.01,2024-11-09
202108,8,2021-02-21,2021-02-27,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,05_17,0.01,2025-02-22
202332,32,2023-08-06,2023-08-12,2022-2023,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,18_44,0.01,2025-08-09
201921,21,2019-05-19,2019-05-25,2018-2019,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,00_04,0.07,2025-05-24
201721,21,2017-05-21,2017-05-27,2016-2017,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.06,2025-05-24
201745,45,2017-11-05,2017-11-11,2017-2018,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.03,2024-11-09
202245,45,2022-11-06,2022-11-12,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,White Non-Hispanic,0.15,2024-11-09
201815,15,2018-04-08,2018-04-14,2017-2018,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.03,2025-04-12
202352,52,2023-12-24,2023-12-30,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,00_04,0.01,2024-12-28
201911,11,2019-03-10,2019-03-16,2018-2019,Essence,Influenza-Like Illness,Ili,Ed Visits,All,All,0.03,2025-03-15
201952,52,2019-12-22,2019-12-28,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.06,2024-12-28
202347,47,2023-11-19,2023-11-25,2023-2024,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.01,2024-11-23
201638,38,2016-09-18,2016-09-24,2015-2016,Essence,Influenza-Like Illness,Ili,Ed Visits,All,All,0.02,2025-09-20
202015,15,2020-04-05,2020-04-11,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,00_04,0.04,2025-04-12
202035,35,2020-08-23,2020-08-29,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,18_44,0.01,2025-08-30
202409,9,2024-02-25,2024-03-02,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.01,2025-03-01
202229,29,2022-07-17,2022-07-23,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.15,2025-07-19
202335,35,2023-08-27,2023-09-02,2022-2023,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,65+,0.01,2025-08-30
202213,13,2022-03-27,2022-04-02,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,65+,0.01,2025-03-29
201930,30,2019-07-21,2019-07-27,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.06,2025-07-26
202311,11,2023-03-12,2023-03-18,2022-2023,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,White Non-Hispanic,0.01,2025-03-15
202434,34,2024-08-18,2024-08-24,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,00_04,0.26,2025-08-23
202341,41,2023-10-08,2023-10-14,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,45_64,0.01,2024-10-12
202230,30,2022-07-24,2022-07-30,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Black Non-Hispanic,0.05,2025-07-26
202408,8,2024-02-18,2024-02-24,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.15,2025-02-22
201923,23,2019-06-02,2019-06-08,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.1,2025-06-07
201703,3,2017-01-15,2017-01-21,2016-2017,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,All,All,0.01,2025-01-18
202227,27,2022-07-03,2022-07-09,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,65+,0.05,2025-07-05
201834,34,2018-08-19,2018-08-25,2017-2018,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.02,2025-08-23
201844,44,2018-10-28,2018-11-03,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.11,2024-11-02
202325,25,2023-06-18,2023-06-24,2022-2023,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,00_04,0.03,2025-06-21
201909,9,2019-02-24,2019-03-02,2018-2019,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.01,2025-03-01
202149,49,2021-12-05,2021-12-11,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,45_64,0.22,2024-12-07
202145,45,2021-11-07,2021-11-13,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,00_04,0.09,2024-11-09
202238,38,2022-09-18,2022-09-24,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.01,2025-09-20
202030,30,2020-07-19,2020-07-25,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,All,All,0.01,2025-07-26
202135,35,2021-08-29,2021-09-04,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.08,2025-08-30
202324,24,2023-06-11,2023-06-17,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.11,2025-06-14
202142,42,2021-10-17,2021-10-23,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.11,2024-10-19
202227,27,2022-07-03,2022-07-09,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Black Non-Hispanic,0.15,2025-07-05
202136,36,2021-09-05,2021-09-11,2020-2021,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2025-09-06
202021,21,2020-05-17,2020-05-23,2019-2020,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.03,2025-05-24
202403,3,2024-01-14,2024-01-20,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.01,2025-01-18
202435,35,2024-08-25,2024-08-31,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.09,2025-08-30
202349,49,2023-12-03,2023-12-09,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,All,All,0.03,2024-12-07
201801,1,2017-12-31,2018-01-06,2017-2018,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.16,2025-01-04
202133,33,2021-08-15,2021-08-21,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.09,2025-08-16
202126,26,2021-06-27,2021-07-03,2020-2021,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,00_04,0.05,2025-06-28
202011,11,2020-03-08,2020-03-14,2019-2020,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,00_04,0.01,2025-03-15
201623,23,2016-06-05,2016-06-11,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,All,All,0.05,2025-06-07
202049,49,2020-11-29,2020-12-05,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.21,2024-12-07
201621,21,2016-05-22,2016-05-28,2015-2016,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.01,2025-05-24
202132,32,2021-08-08,2021-08-14,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,All,All,0.03,2025-08-09
202037,37,2020-09-06,2020-09-12,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.01,2025-09-13
202024,24,2020-06-07,2020-06-13,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,65+,0.11,2025-06-14
201908,8,2019-02-17,2019-02-23,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.12,2025-02-22
202022,22,2020-05-24,2020-05-30,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.11,2025-05-31
202201,1,2022-01-02,2022-01-08,2021-2022,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,65+,0.01,2025-01-04
202150,50,2021-12-12,2021-12-18,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,White Non-Hispanic,0.1,2024-12-14
202248,48,2022-11-27,2022-12-03,2022-2023,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,45_64,0.01,2024-11-30
201950,50,2019-12-08,2019-12-14,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.02,2024-12-14
201915,15,2019-04-07,2019-04-13,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,18_44,0.08,2025-04-12
201945,45,2019-11-03,2019-11-09,2019-2020,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-11-09
202239,39,2022-09-25,2022-10-01,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,Age Unknown,0.2,2025-09-27
201939,39,2019-09-22,2019-09-28,2018-2019,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.03,2025-09-27
202310,10,2023-03-05,2023-03-11,2022-2023,Essence,Influenza-Like Illness,Ili,Ed Visits,All,All,0.02,2025-03-08
202115,15,2021-04-11,2021-04-17,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,18_44,0.04,2025-04-12
202140,40,2021-10-03,2021-10-09,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.08,2024-10-05
202036,36,2020-08-30,2020-09-05,2019-2020,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Black Non-Hispanic,0.02,2025-09-06
201950,50,2019-12-08,2019-12-14,2019-2020,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Black Non-Hispanic,0.01,2024-12-14
202427,27,2024-06-30,2024-07-06,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.02,2025-07-05
202342,42,2023-10-15,2023-10-21,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.02,2024-10-19
201850,50,2018-12-09,2018-12-15,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,All,All,0.12,2024-12-14
202109,9,2021-02-28,2021-03-06,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,65+,0.09,2025-03-01
202316,16,2023-04-16,2023-04-22,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,All,All,0.13,2025-04-19
202103,3,2021-01-17,2021-01-23,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.11,2025-01-18
202130,30,2021-07-25,2021-07-31,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,00_04,0.01,2025-07-26
202045,45,2020-11-01,2020-11-07,2020-2021,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,05_17,0.01,2024-11-09
202342,42,2023-10-15,2023-10-21,2023-2024,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.02,2024-10-19
202141,41,2021-10-10,2021-10-16,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,All,All,0.1,2024-10-12
201913,13,2019-03-24,2019-03-30,2018-2019,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.03,2025-03-29
202149,49,2021-12-05,2021-12-11,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,White Non-Hispanic,0.19,2024-12-07
201922,22,2019-05-26,2019-06-01,2018-2019,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,45_64,0.01,2025-05-31
201650,50,2016-12-11,2016-12-17,2016-2017,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.11,2024-12-14
202304,4,2023-01-22,2023-01-28,2022-2023,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,45_64,0.02,2025-01-25
202137,37,2021-09-12,2021-09-18,2020-2021,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.01,2025-09-13
202226,26,2022-06-26,2022-07-02,2021-2022,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.01,2025-06-28
202349,49,2023-12-03,2023-12-09,2023-2024,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,45_64,0.02,2024-12-07
201547,47,2015-11-22,2015-11-28,2015-2016,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,18_44,0.01,2024-11-23
202406,6,2024-02-04,2024-02-10,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,All,All,0.02,2025-02-08
202433,33,2024-08-11,2024-08-17,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,18_44,0.06,2025-08-16
202238,38,2022-09-18,2022-09-24,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,18_44,0.01,2025-09-20
202437,37,2024-09-08,2024-09-14,2023-2024,Essence,Influenza-Like Illness,Ili,Ed Visits,All,All,0.01,2025-09-13
201901,1,2018-12-30,2019-01-05,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,18_44,0.11,2025-01-04
201715,15,2017-04-09,2017-04-15,2016-2017,Essence,Influenza-Like Illness,Ili,Ed Visits,All,All,0.02,2025-04-12
202148,48,2021-11-28,2021-12-04,2021-2022,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,05_17,0.03,2024-11-30
202301,1,2023-01-01,2023-01-07,2022-2023,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.02,2025-01-04
201906,6,2019-02-03,2019-02-09,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,05_17,0.18,2025-02-08
202248,48,2022-11-27,2022-12-03,2022-2023,Essence,Influenza-Like Illness,Ili,Admissions,All,All,0.01,2024-11-30
202205,5,2022-01-30,2022-02-05,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,65+,0.04,2025-02-01
202148,48,2021-11-28,2021-12-04,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,18_44,0.09,2024-11-30
201815,15,2018-04-08,2018-04-14,2017-2018,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Age Group,00_04,0.01,2025-04-12
201804,4,2018-01-21,2018-01-27,2017-2018,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.18,2025-01-25
202213,13,2022-03-27,2022-04-02,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,00_04,0.01,2025-03-29
201929,29,2019-07-14,2019-07-20,2018-2019,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,05_17,0.02,2025-07-19
202142,42,2021-10-17,2021-10-23,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,00_04,0.08,2024-10-19
202133,33,2021-08-15,2021-08-21,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,65+,0.02,2025-08-16
202221,21,2022-05-22,2022-05-28,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,18_44,0.02,2025-05-24
201810,10,2018-03-04,2018-03-10,2017-2018,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.13,2025-03-08
201802,2,2018-01-07,2018-01-13,2017-2018,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Age Group,65+,0.04,2025-01-11
202109,9,2021-02-28,2021-03-06,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,All,All,0.02,2025-03-01
201951,51,2019-12-15,2019-12-21,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.05,2024-12-21
202105,5,2021-01-31,2021-02-06,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,45_64,0.07,2025-02-01
202245,45,2022-11-06,2022-11-12,2022-2023,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.03,2024-11-09
202439,39,2024-09-22,2024-09-28,2023-2024,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.02,2025-09-27
201728,28,2017-07-09,2017-07-15,2016-2017,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,05_17,0.02,2025-07-12
202407,7,2024-02-11,2024-02-17,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Age Group,05_17,0.05,2025-02-15
202250,50,2022-12-11,2022-12-17,2022-2023,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,00_04,0.01,2024-12-14
201851,51,2018-12-16,2018-12-22,2018-2019,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.03,2024-12-21
202406,6,2024-02-04,2024-02-10,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.23,2025-02-08
202127,27,2021-07-04,2021-07-10,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.1,2025-07-05
202402,2,2024-01-07,2024-01-13,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,65+,0.05,2025-01-11
202337,37,2023-09-10,2023-09-16,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.1,2025-09-13
201845,45,2018-11-04,2018-11-10,2018-2019,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.02,2024-11-09
202237,37,2022-09-11,2022-09-17,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,18_44,0.01,2025-09-13
201613,13,2016-03-27,2016-04-02,2015-2016,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.05,2025-03-29
